Description,label,Translated_Description,Cleaned_Description,Contains_Injury_Keyword,Mentions_Injury_Entity,Sentence_Length,Embedding
Een reiziger viel op een loopband en ontwrichtte zijn schouder in de terminal.,1,A passenger fell on a moving walkway and dislocated his shoulder in the terminal.,passenger fell moving walkway dislocated shoulder terminal,0,0,7,"[ 0.32112     0.12493699  0.36249855 -0.3035657   0.02786043  0.32005376
 -0.4551514   0.06160729  0.37939286 -0.41213813  0.34845343 -0.27012414
 -0.60999286  0.24375714 -0.14551295  0.39930996 -0.73364115 -0.03887143
 -0.42917722 -0.24276146  0.10647857  0.05554857 -0.48579898 -0.14072001
 -0.02431286 -0.8260211   0.72705853  0.80403143  0.63268    -0.160362
  2.1216314   0.3374944   0.7509201   0.36625743  0.09699198  0.12796143
  0.48220998  0.00665871  0.20116971  0.33371714 -0.30618998 -0.10799448
  0.11545057  0.14156142 -0.14585757 -0.229841    0.17577657 -0.61352
  0.06284114 -0.384656  ]"
A flight crew rest requirement delayed departure after a previous long-haul flight.,0,A flight crew rest requirement delayed departure after a previous long-haul flight.,flight crew rest requirement delayed departure previous longhaul flight,0,0,9,"[ 7.78686702e-01  9.89004374e-02  6.44753277e-02 -2.36498460e-01
 -1.98111117e-01 -7.96682164e-02 -5.08261085e-01  3.89243305e-01
  4.32117790e-01 -3.47609133e-01  2.55471230e-01  1.02124892e-01
 -1.87877804e-01  5.59875667e-01  3.73088866e-01  1.04180968e-03
 -7.75285482e-01 -1.23372234e-01 -7.24086642e-01 -4.63746279e-01
  3.47294688e-01  1.98805004e-01 -4.18706648e-02 -1.48460180e-01
  3.41233239e-02 -8.51677775e-01  6.71658888e-02  5.29214479e-02
  3.03154469e-01  4.08754021e-01  2.22431254e+00  5.58146715e-01
 -2.79098600e-01 -4.74434420e-02  5.76575339e-01 -8.44944417e-02
  6.54792309e-01 -4.86621112e-02 -5.02886653e-01  3.43347713e-02
 -3.20996255e-01 -1.72489449e-01  4.03280675e-01  1.08414665e-01
 -6.55770004e-01 -6.95907772e-02  7.73468912e-02  5.36286592e-01
 -1.45588994e-01  1.20573111e-01]"
"A passenger forgot to remove liquids from their bag, causing delays at security.",0,"A passenger forgot to remove liquids from their bag, causing delays at security.",passenger forgot remove liquid bag causing delay security,0,0,8,"[ 0.55924916 -0.18924847  0.52575004 -0.165429    0.10887372  0.3251625
  0.02694499  0.20905127  0.48882127 -0.24625325  0.07843689  0.09195663
 -0.05495413  0.29598975  0.38017717  0.5113125  -0.37771046  0.00303252
 -0.03842876 -0.7438395   0.5467554  -0.04117074  0.19845873 -0.12412876
 -0.04750752 -1.2857513   0.15448001  0.57909435  0.94881     0.10570501
  2.1862125   0.20773123 -0.3999237  -0.10859375  0.01746562  0.49327743
  0.32682624 -0.00884873  0.25624877  0.16090712  0.09765624  0.2797346
  0.12411287  0.159765    0.05880051 -0.0038255  -0.04785192  0.18380049
  0.263376   -0.23071122]"
 A worker was injured when a tow vehicle malfunctioned and collided with parked equipment.,1, A worker was injured when a tow vehicle malfunctioned and collided with parked equipment.,worker injured tow vehicle malfunctioned collided parked equipment,0,0,8,"[ 0.5181975  -0.3966931   1.2009836  -0.18981875 -0.14008999  0.14263949
 -0.7872125   0.18781     0.5276975  -0.6184145   0.44004124 -0.3550338
 -0.4399046   0.39530003 -0.0438375   0.03062625 -0.72295123  0.8589971
 -0.5094113  -0.76444733  0.16421527  0.44124174 -0.44877625 -0.037712
  0.31187502 -1.1307287   0.2580875   0.40383124  0.74667126 -0.02392176
  1.5979074   0.08029375 -0.02584587  0.19731249  0.7036787   0.6739296
  0.5275787  -0.0459405   0.15332127  0.6515263  -0.098355    0.18637824
  0.40708125 -0.15772888  0.3861607  -0.60400075 -0.11205626 -0.19821177
  0.4904225  -0.44377127]"
 A passenger was burned by hot tea spilled during turbulence on a domestic flight.,1, A passenger was burned by hot tea spilled during turbulence on a domestic flight.,passenger burned hot tea spilled turbulence domestic flight,0,0,8,"[ 0.40059412 -0.11183159  0.164002   -0.18183912 -0.16532637  0.02708996
 -0.45562252 -0.0411405   0.4134909   0.01507905  0.12461475 -0.13595276
  0.04727213  0.31226623  0.31290993 -0.0348215  -0.5049406   0.4206025
 -0.77466255 -0.7777225   0.4600256   0.10873075  0.22581375  0.00886229
  0.20967105 -0.958015    0.10396738  0.6204736   0.7153106   0.60697
  2.1185      0.38532498  0.23197287  0.18717627  0.01081407  0.07192463
 -0.21959624 -0.11872401  0.12075001  0.31893876 -0.22146599  0.17971474
  0.33531275  0.04078845  0.12891577  0.35377738 -0.3171842  -0.1910514
  0.30781063 -0.56786877]"
An arriving plane was held in a holding pattern due to congestion at the destination airport.,0,An arriving plane was held in a holding pattern due to congestion at the destination airport.,arriving plane held holding pattern due congestion destination airport,0,0,9,"[ 8.5604900e-01  3.3967990e-01 -8.9758433e-02  6.4852558e-02
 -9.8806418e-02 -3.4900516e-01 -4.2326897e-01  1.4887844e-01
  2.7173820e-01 -4.1933900e-01  2.1012169e-01 -2.8255111e-01
 -7.3532209e-02  2.8194070e-02  2.1175677e-01  2.6444513e-01
 -5.3781003e-01 -2.4580551e-02 -6.7345887e-01 -3.8636521e-01
  4.0536776e-01  7.3618904e-02 -2.9878676e-01  2.1317534e-01
 -1.9407769e-03 -1.1799022e+00  2.9084444e-01  4.9487755e-01
  4.1439888e-01  1.7471623e-01  2.4143667e+00  4.6949297e-01
 -2.1262421e-01 -3.7759244e-01  1.9984776e-01 -1.6713457e-01
  2.7249557e-01 -5.3088889e-02 -3.4494546e-01  4.8634878e-01
 -2.2810690e-01  1.9637343e-01  3.8541144e-01  1.4098740e-02
 -2.9811513e-01 -1.8356831e-01 -3.4797434e-02 -9.8609000e-02
  3.3380666e-01 -2.3858765e-01]"
 A traveler fainted from carbon monoxide exposure in an under-ventilated airport shuttle.,1, A traveler fainted from carbon monoxide exposure in an under-ventilated airport shuttle.,traveler fainted carbon monoxide exposure underventilated airport shuttle,0,0,8,"[ 0.7599024   0.59150857  0.6619786  -0.45589995 -0.34290573 -0.02509086
 -0.03325572  0.12667044  0.56376284  0.31859925  0.48865303 -0.09774969
  0.15231     0.6366278   0.366814    0.40970835 -0.17224486  0.37614426
 -0.6384249  -0.5193406   0.39414898  0.17109756  0.16457431 -0.05987659
  0.08775858 -0.8207343   0.10850571  0.56367856  0.4122207   0.53627
  1.1938422   0.24972856  0.0694957  -0.6896043   0.10716143  0.08636357
  0.41021815 -0.010298    0.61691016  0.37527853 -0.03632527  0.1273001
  0.55009997  0.17331901  0.03860286 -0.14488713 -0.00440943 -0.10482143
  0.25181574  0.01763014]"
 A flight attendant was injured by a malfunctioning service cart on an international flight.,1, A flight attendant was injured by a malfunctioning service cart on an international flight.,flight attendant injured malfunctioning service cart international flight,0,0,8,"[ 0.64645505  0.080235    0.2766245   0.0913925  -0.24470626 -0.13492438
 -0.59722376  0.31004608  0.77354246 -0.6004883   0.4402375   0.03236412
 -0.56102383  0.5039062   0.271615   -0.21546623 -0.9381138   0.41184986
 -0.8186358  -0.58012867  0.19264999  0.4402399  -0.450748    0.17107755
  0.140035   -1.2367775   0.11512874 -0.05861775  0.22591251  0.24616125
  1.9871074   0.6547934  -0.17195436 -0.081942    0.26250675  0.21520002
  0.63860875 -0.07975801  0.11519177  0.559916    0.06671987  0.1423315
  0.31692064  0.36554623 -0.1593369  -0.01571025 -0.112186    0.1252556
  0.17678612 -0.05876749]"
A jet bridge malfunction delayed passengers from deboarding the aircraft after landing.,0,A jet bridge malfunction delayed passengers from deboarding the aircraft after landing.,jet bridge malfunction delayed passenger deboarding aircraft landing,0,0,8,"[ 1.1182029  -0.09649571  0.6125077   0.05099056 -0.70651996  0.3029824
 -0.53529286  0.24678029  0.47186202 -0.6136027   0.47730997  0.08261185
 -0.41271344  0.6113714  -0.30284896  0.23908408 -0.8921429   0.51131785
 -1.1913     -0.7309113   0.3938057   0.01074071 -0.7075651  -0.39498287
  0.39344284 -1.2038814   0.02265144  0.44186372  0.7334048   0.3513187
  1.9963386   0.07928186 -0.10862715  0.12881514  0.7043943   0.03822158
  0.73919004 -0.09449072 -0.41412428  0.58353585 -0.17767142  0.00816184
  0.50952715 -0.20686232 -0.41250202  0.00689714  0.13396786  0.00424286
  0.09619143 -0.07949943]"
"An overhead bin door would not latch properly, delaying the aircraft's departure.",0,"An overhead bin door would not latch properly, delaying the aircraft's departure.",overhead bin door would latch properly delaying aircraft departure,0,0,9,"[ 0.8573188  -0.38886774  0.62602323 -0.24273488  0.09076455 -0.13911754
 -0.19512056  0.16766588  0.20365824 -0.19156279  0.06581967  0.33380878
 -0.43347943  0.53192455 -0.01938855  0.48440325 -0.26135576 -0.07092322
 -0.09519258 -0.6989556   0.2855449  -0.07149167  0.02178479 -0.18584555
  0.13511044 -1.2653079   0.11083889  0.40801474  0.4924956  -0.05278666
  1.9975333   0.17811765 -0.42339668 -0.15038332  0.2648762   0.14044747
  0.58162445  0.00970344 -0.5350417   0.05648433  0.015069    0.01713405
 -0.06517754  0.14978114  0.02765554 -0.15998955 -0.11707767  0.08044844
  0.0738651  -0.0892199 ]"
"A jetway's air conditioning system failed during a hot day, making boarding uncomfortable.",0,"A jetway's air conditioning system failed during a hot day, making boarding uncomfortable.",jetways air conditioning system failed hot day making boarding uncomfortable,0,0,10,"[ 0.23550001  0.083225    0.15501733 -0.24767189 -0.218344   -0.13197002
 -0.2923022   0.06152821  0.09975202 -0.10602099  0.081074    0.0340858
 -0.11321174  0.565561   -0.07209201  0.24715324 -0.3692341   0.3106882
 -0.35929778 -0.56695104  0.16484699  0.2535697  -0.016484    0.0244353
  0.08317441 -1.053951    0.17583463  0.27849808  0.55535495  0.19353722
  2.398029    0.40701097 -0.15805769 -0.259297    0.21653529  0.26654944
  0.42173672  0.23140821 -0.09743859  0.04452308 -0.0482781  -0.0518946
  0.13056901  0.47679853  0.00753381  0.18975678  0.0117035   0.01717
 -0.06539311  0.2470692 ]"
A traffic jam near the airport caused several passengers to miss their flights.,0,A traffic jam near the airport caused several passengers to miss their flights.,traffic jam near airport caused several passenger miss flight,0,0,9,"[ 0.7513056   0.26571068  0.17625442  0.09399355 -0.4553848  -0.11118554
 -0.6351722   0.37510133  0.5310822  -0.38844866  0.17937756 -0.29099077
 -0.25639778  0.00479554  0.22323616  0.08685044 -0.516423    0.30565622
 -0.9048712  -0.3812838   0.38371187  0.12119201 -0.18689111  0.33548766
  0.17249033 -1.3183358   0.07390445  0.46609342  0.53021556 -0.07528334
  2.5202446   0.28746998  0.10309956 -0.29157406  0.29556334  0.02853633
  0.42466876 -0.2509659  -0.03044956  0.73676217 -0.30491978  0.34307063
  0.22599077 -0.22012776 -0.28801256 -0.02265267 -0.08769111 -0.41167644
  0.17595434 -0.20483787]"
A passenger’s carry-on bag was flagged for additional screening at the security checkpoint.,0,A passenger’s carry-on bag was flagged for additional screening at the security checkpoint.,passenger ’ carryon bag flagged additional screening security checkpoint,0,0,9,"[ 0.46035016  0.10500246  0.4446548  -0.32159698  0.21336557 -0.02470023
 -0.22617364 -0.13795556  0.9196311  -0.69264954  0.08961777 -0.00245035
  0.06156611  0.24676521  0.05858849  0.06339334 -0.5350568  -0.03894623
 -0.22325413 -0.53174514  0.50725055  0.08727156 -0.1066298   0.00763255
 -0.17336111 -0.9964111   0.00316778  0.23933166  0.48607323 -0.04880666
  1.6979021   0.48955774 -0.32318813 -0.06413656  0.50993556  0.6094247
  0.61168444 -0.04782001 -0.27333108  0.48024225  0.21252662  0.26780954
  0.4722158   0.12558945 -0.13187589 -0.56097144  0.01645956  0.21009445
  0.58663774 -0.1936322 ]"
"A passenger's pet carrier did not meet airline regulations, leading to boarding delays.",0,"A passenger's pet carrier did not meet airline regulations, leading to boarding delays.",passenger pet carrier meet airline regulation leading boarding delay,0,0,9,"[ 0.5976434  -0.00851334  0.20360054 -0.02193723 -0.16784778  0.21794443
 -0.65074897 -0.02915201  0.59848964 -0.36452857  0.26750302  0.2543038
 -0.10183331  0.6276598   0.01963636  0.0608791  -0.48404223  0.03615112
 -0.29992336 -0.47904432  0.42266244 -0.15809122 -0.4994757   0.19942187
 -0.09722144 -1.3787999   0.29625    -0.13939506  0.07128888  0.33212814
  2.2415113   0.5277235  -0.28760877  0.26014236  0.25495678 -0.33115998
  0.28680587 -0.05179301 -0.11132889  0.17947    -0.21631677  0.04198111
  0.3306478   0.31513223 -0.06561111 -0.01534011 -0.27203676  0.35006443
  0.35962552  0.273885  ]"
A security officer was bitten by a service dog that became agitated during inspection.,1,A security officer was bitten by a service dog that became agitated during inspection.,security officer bitten service dog became agitated inspection,0,0,8,"[ 0.13698642 -0.46911848 -0.00565874 -0.24067025  0.18388161 -0.22918877
 -0.4473379   0.10872112  0.5182675  -0.8781459   0.23760346  0.18114752
 -0.1445675   0.17258     0.10160488 -0.03645137 -0.49998     0.43917
 -0.23725598 -0.1059645   0.02364586  0.30373734  0.12276749  0.14182876
  0.07182201 -1.5640212  -0.04434163  0.12731062  0.08607511  0.21468249
  1.9992099  -0.0954455  -0.07702063 -0.40801248 -0.13511875  0.35663247
  0.24114436 -0.07447887 -0.0356275  -0.04720625 -0.07053237  0.12596288
 -0.00721021  0.256008    0.29352874 -0.40171248 -0.2984021  -0.07235
  0.20426036  0.331398  ]"
A technical error on the airline’s app prevented passengers from downloading boarding passes.,0,A technical error on the airline’s app prevented passengers from downloading boarding passes.,technical error airline ’ app prevented passenger downloading boarding pass,0,0,10,"[ 2.35278413e-01 -1.68990999e-01  4.22916025e-01 -9.56580043e-02
 -2.15352103e-01 -2.05830019e-03 -5.21834254e-01 -1.32574782e-01
  6.08095944e-01  2.21592411e-02  1.92766160e-01  1.63535103e-01
 -1.73232496e-01  6.30279928e-02  9.08287391e-02 -2.14594886e-01
 -4.80532497e-01 -6.45213947e-02 -1.40926212e-01 -3.19478989e-01
  2.71314204e-01  2.94170044e-02 -2.82256991e-01  3.89227003e-01
  3.67854029e-01 -9.19634521e-01  1.14206985e-01 -2.39836380e-01
  2.42932990e-01 -1.29175395e-01  2.15162992e+00  1.33511588e-01
 -1.00607239e-01 -1.80945009e-01  2.90325016e-01  9.75611061e-02
  4.84575927e-01 -4.39123921e-02 -1.09199002e-01  3.08800995e-01
  1.82675913e-01 -3.37015614e-02  1.65849909e-01  4.31291997e-01
 -4.29909289e-01 -2.16312885e-01  1.74091905e-01  3.58279020e-01
  5.44504642e-01  2.08900566e-03]"
 A passenger dislocated their shoulder while placing heavy carry-on luggage in the overhead bin.,1, A passenger dislocated their shoulder while placing heavy carry-on luggage in the overhead bin.,passenger dislocated shoulder placing heavy carryon luggage overhead bin,0,0,9,"[ 0.29434776 -0.03295612  0.49487108 -0.38358667  0.16906634  0.17868964
 -0.13493687  0.11974099  0.7955001  -0.5259128   0.20100577  0.05520334
 -0.4055589   0.40743688  0.04883859  0.18611556 -0.7704357  -0.09944113
 -0.36473113 -0.5806911   0.05282589 -0.07460246  0.03026221 -0.28412443
 -0.18341501 -1.1268641   0.05082113  0.73403907  0.7948278  -0.00259445
  1.5053124   0.70217466  0.33367643  0.38409442  0.29673833  0.82461774
  0.5115372   0.29462445 -0.30600077  0.38477197  0.22746788  0.37781
  0.09008114  0.35881555  0.15708454 -0.48876223 -0.0415929  -0.09839156
  0.25491333 -0.53602445]"
"Een onderhoudsteam moest een hydraulisch probleem controleren, wat voor vertraging zorgde.",0,"A maintenance team had to check a hydraulic problem, which caused a delay.",maintenance team check hydraulic problem caused delay,0,0,7,"[ 0.3815786  -0.10842886  0.3301596   0.14826371 -0.53431714  0.38592315
 -0.18058857  0.42095512  0.48637512 -0.39531988  0.30554143  0.21827856
 -0.50157577  0.02341871  0.31246144  0.20593286 -0.16762714  0.17784142
 -0.14805003 -0.78051573  0.07580388 -0.29999715 -0.22147001 -0.27655
  0.21073656 -1.2778742  -0.01213715  0.045354    0.52038854  0.33559284
  2.701543    0.17662314 -0.18201213 -0.37067145  0.143257    0.45810285
  0.40542573  0.075028    0.5439855   0.1807686  -0.23359714  0.01198572
 -0.11444215  0.47492144 -0.01035572 -0.09092157  0.22125717  0.6939536
  0.05811799  0.01455258]"
A pre-flight inspection discovered loose fasteners requiring immediate maintenance.,0,A pre-flight inspection discovered loose fasteners requiring immediate maintenance.,preflight inspection discovered loose fastener requiring immediate maintenance,0,0,8,"[ 0.23779914 -0.22573736 -0.09232713 -0.16886576 -0.3217066   0.10613975
 -0.22635688  0.02805054  0.8101175  -0.4961876   0.26877776  0.1563715
  0.00216125  0.28449523  0.09496761  0.16765624 -0.4183575  -0.14463626
  0.13381375 -0.534325    0.37591124 -0.28126666 -0.14847088 -0.4495066
 -0.074527   -0.7492375  -0.12831151  0.17074502  0.45127946  0.02005725
  1.7945561  -0.09638476 -0.39340323 -0.22645086  0.14695562  0.49070287
  0.54532003  0.17967187  0.1031      0.36596626 -0.09699574 -0.2848729
  0.20785251  0.4770167   0.06277712 -0.3741125   0.25077176  0.75136745
  0.02604675 -0.01338676]"
A flight was delayed due to technical testing of an upgraded communication system.,0,A flight was delayed due to technical testing of an upgraded communication system.,flight delayed due technical testing upgraded communication system,0,0,8,"[ 0.5487187   0.00575125  0.15815139  0.2529744  -0.75469    -0.02067325
 -0.17633376 -0.09325838  0.54826385 -0.2382355   0.6563026   0.16175462
 -0.34475967  0.07325502 -0.08354252  0.32208374 -0.7838048   0.18326625
 -0.33080915 -0.41921487  0.41273898  0.06810689 -0.23084949 -0.23346134
  0.22336975 -1.061025    0.1717715  -0.11266512  0.10297427  0.42951977
  2.9300623   0.08193751 -0.14555    -0.8656312   0.36679503  0.10933076
  0.5585875   0.26598015 -0.19657502  0.12526976 -0.10091164 -0.26966727
  0.2982359   0.28614137 -0.36210123  0.01610015  0.40114737  0.6806594
  0.03171837  0.19836925]"
An air traffic controller’s scheduling error resulted in a brief suspension of departures.,0,An air traffic controller’s scheduling error resulted in a brief suspension of departures.,air traffic controller ’ scheduling error resulted brief suspension departure,0,0,10,"[ 0.2697165  -0.05328431 -0.127613    0.214111   -0.47514504  0.01764802
 -0.0324338   0.2696322   0.21277602 -0.2012336   0.09041526  0.1285624
 -0.438271    0.1070111   0.200484   -0.1580511  -0.62914    -0.216995
 -0.41539088 -0.47382903  0.17997016 -0.12059989 -0.24859099 -0.026598
  0.14556798 -0.96847725  0.150927    0.11049793  0.460687    0.400428
  2.4724298   0.07381499 -0.1142467  -0.466891    0.15956369  0.22019017
  0.60473806 -0.26408902 -0.2702503   0.3099741  -0.02349519  0.30892265
 -0.33136907  0.13249001 -0.46560368 -0.14398049  0.32984397  0.400724
  0.13525781  0.3703068 ]"
